testLocation,ppt,MeanLLM,MeanSLM,stdLLM,stdSLM,nSettings,LogAxisRatio,AxisRatioNormed,EllipseAngleUnnormed,timestart,CL,testSeason,age,birthLocation,birthNumber,birthSeason
1,001o,0.704613866454229,0.94642457404775,0.0091647922981392,0.150894107695987,45,0.22289851362523,1.67070015778491,91.6484307796961,15-Jun-2021 09:11:56,0.80958095809581,1,22,0,10,2
0,001t,0.689857552402072,1.53499938523356,0.00538650016415792,0.202182220567114,61,0.448816952507272,2.81071591333786,91.1836092203362,18-Jun-2021 12:56:55,0.711971197119712,1,33.25,1,3,4
1,002o,0.704822270905582,1.1118196890002,0.00653933402880271,0.142372015019446,93,0.270548017480269,1.86443830723726,91.4576205529807,16-Jun-2021 13:18:15,0.793479347934793,1,26.5,0,12,3
0,002t,0.684203442497285,1.08581459356166,0.00784657873791688,0.194023598180142,58,0.29306028844032,1.96363284798319,91.3639590620398,21-Jun-2021 13:36:35,0.742674267426743,1,27,0,5,1
1,003o,0.701759395824034,0.993077725310771,0.00517635915370945,0.0873790171454798,46,0.260316850535115,1.82102895185726,91.8253587798305,17-Jun-2021 09:10:43,0.797479747974797,1,31,0,NaN,NaN
0,003t,0.689725731904855,1.59320747760811,0.00828491119927419,0.181162385776399,13,0.129293813724014,1.34677117850891,90.7592270301399,22-Jun-2021 12:56:33,0.705770577057706,1,19.5,1,12,3
1,004o,0.69739457761012,0.913089481526902,0.00859104966085855,0.138317670947256,63,0.145832224268381,1.39904674136409,91.1558368372209,20-Jun-2021 15:40:16,0.794279427942794,1,29.3333333333333,0,2,4
0,004t,0.682210027575531,1.27476778008308,0.00880417994275938,0.212148441436752,107,0.168126175627189,1.47274031570148,90.8783508639548,24-Jun-2021 09:56:16,0.718371837183718,1,19,1,8,2
1,005o,0.709086024743228,0.919267151329818,0.00689598556360187,0.102502154635241,41,0.450714573476215,2.82302402047324,92.9977801103207,22-Jun-2021 09:33:17,0.823982398239824,1,25.5,0,NaN,NaN
0,005t,0.692259981733288,1.30218242463767,0.00759086062941121,0.227166257265393,32,0.283012182825737,1.91872256390716,91.097324496369,24-Jun-2021 13:11:47,0.741674167416742,1,28.5,0,12,3
1,006o,0.699307335953358,0.937056250511593,0.00551838396435433,0.103265921272321,73,0.329307261422045,2.13455456694707,91.9622453286829,23-Jun-2021 10:01:48,0.796779677967797,1,26.2083333333333,NaN,12,3
0,006t,0.700182506447025,1.03658337917244,0.00469176991763603,0.109135867120309,18,0.290876176533424,1.95378232552893,91.4419673440917,25-Jun-2021 11:46:22,0.789078907890789,1,31,0,5,1
1,007o,0.698690434827043,1.27203804730461,0.00880759743718923,0.215215481138394,91,0.378102165608818,2.38837306967342,91.6462599718574,25-Jun-2021 11:05:25,0.761376137613761,1,27,0,NaN,NaN
0,007t,0.689051613084008,1.15977294799044,0.00939641984995265,0.179668605366519,17,0.136911588009796,1.37060271576423,90.9167425364083,25-Jun-2021 14:34:18,0.747774777477748,1,30.8333333333333,1,9,2
1,008o,0.701973321086956,1.00788943056756,0.00737688497749345,0.165665156422484,63,0.5323344382904,3.40670429687152,92.1467645321316,26-Jun-2021 13:00:14,0.796579657965797,1,20.75,0,9,2
0,008t,0.688906749560382,1.16633367148612,0.00860727392243044,0.199279091989453,35,0.426841879144045,2.67203337965612,91.86750393396,30-Jun-2021 13:15:38,0.746674667466747,1,27,1,11,3
1,009o,0.706296637322051,0.959153712165579,0.00665691849257396,0.188311536831209,53,0.186342022356507,1.53582602429336,90.8201766603698,01-Jul-2021 12:50:43,0.812681268126813,1,18,0,NaN,NaN
0,009t,0.686266571199847,1.27696283340362,0.00509881314352282,0.126157195847863,17,0.237201866344126,1.72664027281911,91.153662304733,08-Jul-2021 13:10:03,0.728672867286729,1,29.9166666666667,1,8,2
1,010o,0.701151178374453,1.08338783332086,0.0074396748058474,0.12849724633135,18,0.354089503241276,2.25990146267873,92.2338893901773,06-Jul-2021 16:28:56,0.786878687868787,1,26.5,0,12,3
0,010t,0.686830125466773,1.25767327938367,0.00741782412192712,0.19474458673529,30,0.114294660500175,1.30105201755182,90.5621894784184,09-Jul-2021 13:44:18,0.732073207320732,1,22.5833333333333,0,12,3
1,011o,0.696408845258054,1.28761615964102,0.00682179309121081,0.200322213169997,19,0.412562481848886,2.58560680347039,91.4438492916105,08-Jul-2021 09:58:04,0.753975397539754,1,26.4166666666667,0,1,3
0,011t,0.682516490589385,1.19325215311226,0.00695778505337308,0.204639739295671,11,0.043234331615257,1.10467450667575,90.1935140389213,13-Sep-2021 17:05:51,0.727472747274727,2,30.5833333333333,0,2,4
1,012o,0.690137505422911,1.20895492584346,0.0127988819912362,0.230485256873713,27,0.392456418530557,2.46863236511486,92.2868631600172,08-Jul-2021 13:15:04,0.745574557455746,1,28.75,0,9,2
0,012t,0.692134493273811,1.19418035503114,0.00968024666828032,0.201689704976537,47,0.0879567918855405,1.22449436781884,90.5506514347659,14-Sep-2021 10:12:57,0.752275227522752,2,19.8333333333333,0,11,3
1,013o,0.691117645860934,1.21611468459844,0.00770291877251993,0.127186179542811,41,0.0589885652510924,1.14548278107979,90.4701313304024,13-Sep-2021 07:06:32,0.747474747474748,2,24.6666666666667,0,12,3
0,013t,0.681029721483505,1.33829418273623,0.00592880388117262,0.187020189203069,27,0.490434847989732,3.09339121613011,91.4728276938999,14-Sep-2021 14:11:55,0.708970897089709,2,29.75,0,12,3
1,014o,0.697084767709366,1.20595096737591,0.00853942047726198,0.210313407984971,81,0.320834321046599,2.09331372548744,91.4630224153879,13-Sep-2021 12:03:50,0.763876387638764,2,22.0833333333333,0,8,2
0,014t,0.700145043057134,0.8972016462364,0.0103071153112869,0.189777998465563,21,0.177193507494093,1.50381186648666,91.20642230476,15-Sep-2021 10:09:15,0.802980298029803,2,19.6666666666667,1,1,3
1,015o,0.691827962523743,1.24023177042866,0.00874711724081149,0.211191911319258,59,0.349520383350168,2.23625015331478,91.5832579972753,13-Sep-2021 17:21:48,0.746874687468747,2,19.1666666666667,0,7,1
0,015t,0.688511736449751,1.21706074015514,0.00988810092214848,0.160674112670022,15,0.228760505841047,1.69340370582255,91.707132856608,15-Sep-2021 14:12:24,0.740574057405741,2,23.0833333333333,1,8,2
1,016o,0.695763096556823,1.02784652780329,0.00553756041904824,0.117582947086311,34,0.354443292561626,2.26174319630529,91.8174726875468,14-Sep-2021 09:07:59,0.778477847784778,2,22.5,0,3,4
0,016t,0.689647076942681,1.16718961921145,0.00392714356339654,0.103661907528143,29,0.300268889299879,1.99649804516919,91.3008975521726,16-Sep-2021 09:01:49,0.748574857485749,2,19.1666666666667,0,7,1
