testing season (1 = summer),pCode,Gender (0 = female),testing location,arctic circle (0 = below 1 = above 2 = unclassified)
1,001o,1,Oslo,0
1,002o,1,Oslo,0
1,003o,1,Oslo,0
1,004o,1,Oslo,0
1,005o,0,Oslo,0
1,006o,1,Oslo,2
1,007o,1,Oslo,0
1,008o,1,Oslo,0
1,009o,1,Oslo,0
1,010o,0,Oslo,0
1,011o,1,Oslo,0
1,012o,0,Oslo,0
1,001t,1,Tromso,1
1,002t,0,Tromso,0
1,003t,0,Tromso,1
1,004t,1,Tromso,1
1,005t,1,Tromso,0
1,006t,1,Tromso,0
1,007t,0,Tromso,1
1,008t,0,Tromso,1
1,009t,0,Tromso,1
1,010t,0,Tromso,0
2,011t,0,Tromso,0
2,012t,0,Tromso,0
2,013o,1,Oslo,0
2,013t,0,Tromso,0
2,014o,1,Oslo,0
2,014t,0,Tromso,1
2,015o,1,Oslo,0
2,015t,0,Tromso,1
2,016o,0,Oslo,0
2,016t,0,Tromso,0
2,017o,1,Oslo,0
2,017t,0,Tromso,0
2,018o,0,Oslo,0
2,018t,1,Tromso,0
2,019o,1,Oslo,0
2,019t,1,Tromso,0
2,020o,1,Oslo,0
2,020t,0,Tromso,0
2,021o,1,Oslo,0
2,021t,0,Tromso,0
2,022o,1,Oslo,0
2,022t,0,Tromso,0
2,023o,0,Oslo,1
2,023t,0,Tromso,0
2,024o,0,Oslo,0
2,024t,1,Tromso,0
2,025o,0,Oslo,0
2,025t,1,Tromso,0
2,026o,0,Oslo,1
2,026t,0,Tromso,0
2,027o,0,Oslo,0
2,027t,0,Tromso,0
2,028o,0,Oslo,0
2,028t,0,Tromso,1
2,029o,0,Oslo,0
2,029t,0,Tromso,1
2,030o,0,Oslo,0
2,030t,1,Tromso,1
2,031o,0,Oslo,0
2,031t,1,Tromso,0
2,032o,1,Oslo,0
2,032t,0,Tromso,1
2,033o,0,Oslo,0
2,033t,1,Tromso,1
2,034o,0,Oslo,0
2,034t,0,Tromso,1
2,035o,0,Oslo,0
2,035t,0,Tromso,1
2,036o,0,Oslo,0
2,036t,0,Tromso,0
2,037o,0,Oslo,0
2,037t,0,Tromso,1
2,038o,0,Oslo,0
2,038t,1,Tromso,0
2,039o,1,Oslo,0
2,039t,1,Tromso,1
2,040o,0,Oslo,0
2,040t,1,Tromso,0
2,041o,1,Oslo,1
2,041t,0,Tromso,0
2,042o,0,Oslo,0
2,042t,0,Tromso,0
2,043o,0,Oslo,0
2,043t,0,Tromso,1
2,044o,1,Oslo,0
2,044t,1,Tromso,0
2,045o,0,Oslo,0
2,045t,0,Tromso,0
2,046o,1,Oslo,0
2,046t,0,Tromso,1
2,047o,1,Oslo,0
2,047t,1,Tromso,0
2,048o,0,Oslo,0
2,048t,0,Tromso,1
2,049o,0,Oslo,0
2,049t,0,Tromso,0
2,050o,0,Oslo,0
2,050t,0,Tromso,1
2,051o,1,Oslo,0
2,052o,1,Oslo,0
3,053o,0,Oslo,0
3,054o,0,Oslo,0
3,051t,0,Tromso,0
3,052t,0,Tromso,1
3,055o,0,Oslo,0
3,056o,0,Oslo,0
3,057o,0,Oslo,1
3,058o,1,Oslo,1
3,053t,0,Tromso,0
3,059o,0,Oslo,1
3,060o,1,Oslo,0
3,061o,1,Oslo,0
3,062o,0,Oslo,0
3,063o,1,Oslo,0
3,054t,1,Tromso,1
3,055t,0,Tromso,1
3,064o,0,Oslo,0
3,056t,0,Tromso,0
3,057t,0,Tromso,1
3,065o,1,Oslo,0
3,058t,0,Tromso,1
3,059t,1,Tromso,1
3,060t,0,Tromso,1
3,061t,0,Tromso,0
3,066o,0,Oslo,0
3,067o,0,Oslo,0
3,062t,1,Tromso,1
3,068o,0,Oslo,0
3,063t,0,Tromso,0
3,069o,1,Oslo,0
3,070o,1,Oslo,0
3,071o,0,Oslo,0
3,072o,0,Oslo,1
3,073o,0,Oslo,0
3,074o,0,Oslo,0
3,075o,1,Oslo,0
3,076o,0,Oslo,0
3,077o,0,Oslo,0
3,078o,0,Oslo,0
3,079o,0,Oslo,0
3,080o,1,Oslo,0
3,064t,0,Tromso,1
3,065t,0,Tromso,1
3,081o,0,Oslo,0
4,087o,1,Oslo,0
4,082o,0,Oslo,0
4,090t,0,Tromso,0
4,096o,1,Oslo,0
4,102o,0,Oslo,0
4,093o,0,Oslo,0
4,066t,1,Tromso,0
4,085t,0,Tromso,0
4,094o,0,Oslo,1
4,083o,0,Oslo,1
4,096t,0,Tromso,1
4,071t,0,Tromso,1
4,099t,0,Tromso,0
4,080t,1,Tromso,0
4,088o,1,Oslo,0
4,073t,0,Tromso,1
4,072t,0,Tromso,1
4,105o,0,Oslo,0
4,094t,0,Tromso,1
4,089t,1,Tromso,1
